#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas,Disponible de Remanentes por aplicación
0150A,91200,10000,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,61470.6,-31922.84,29547.76,29547.76,
0150A,91200,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,,31793.31,31793.31,28850.16,
0150A,91200,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,8872.4,-4576.18,4296.22,,
0150A,91200,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,3499.92,-3499.92,,,
0150A,91200,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,6659.2,-6659.2,,,
0150A,91200,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,9153.36,-9153.36,,,
0150A,91200,12300,RESIDENCIA PERSONAL FUNCIONARIO,1372.32,-1372.32,,,
0150A,91200,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,,,2943.15,
0150A,91200,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,,,,4296.22,
0150A,91200,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,85751.52,-36369.08,49382.44,49382.44,
0150A,91200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1093.0,,1093.0,370.0,
0150A,91200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,746.5,,746.5,56.77,
0150A,91200,22201,COMUNICACIONES POSTALES,510.5,,510.5,,
0150A,91200,22202,COMUNICACIONES TELEGRÁFICAS,393.5,,393.5,,
0150A,91200,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,300.0,,300.0,,
0150A,91200,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",,,,5136.0,
0150A,91200,22606,"REUNIONES, CONFERENCIAS Y CURSOS",5617.0,,5617.0,727.8,
0150A,91200,22613,"CUOTAS """"UNICEF""""",3000.0,,3000.0,3000.0,
0150A,91200,22699,OTROS GASTOS DIVERSOS,49384.0,,49384.0,35316.83,
0150A,91200,22703,SERVICIOS POSTALES Y MENSAJERÍA,193.5,,193.5,,
0150A,91200,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,49000.0,-13391.9,35608.1,,
0150A,91200,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,70100.0,,70100.0,111300.26,
0150A,91200,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,2079.0,,2079.0,173.53,
0150A,91200,23010,DIETAS DEL PERSONAL DIRECTIVO,1500.0,,1500.0,1636.83,
0150A,91200,23020,DIETAS DEL PERSONAL NO DIRECTIVO,2000.0,,2000.0,,
0150A,91200,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,3300.3,,3300.3,87.74,
0150A,91200,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,5000.0,,5000.0,2199.94,
0150A,91200,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,5600.0,,5600.0,,
0150A,91200,48900,OTRAS TRANSFERENCIAS A FAMILIAS E INSTIT. SIN FINES DE LUCRO,65000.0,,65000.0,,
0150A,91200,48905,OTRAS TRANSFERENCIAS CASA DE ÁFRICA,180000.0,,180000.0,180000.0,
0150B,91200,10000,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,294892.16,-8312.96,286579.2,276072.72,
0150B,91200,11000,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,287854.68,-35622.05,252232.63,251451.27,
0150B,91200,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,,,,1917.96,
0150B,91200,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,17280.48,-1440.04,15840.44,15840.44,
0150B,91200,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,4257.12,,4257.12,4272.08,
0150B,91200,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,7902.48,-0.08,7902.4,7902.4,
0150B,91200,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,10855.56,,10855.56,10945.38,
0150B,91200,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,17646.72,42.68,17689.4,17689.4,
0150B,91200,12300,RESIDENCIA PERSONAL FUNCIONARIO,2774.4,,2774.4,2823.6,
0150B,91200,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,,,3739.64,
0150B,91200,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,,,,2411.1,
0150B,91200,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,,,,3410.74,
0150B,91200,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,137940.84,-2500.75,135440.09,135094.51,
0150B,91200,21500,REPAR/MANTEN. MOBILIARIO,342.0,,342.0,1080.55,
0150B,91200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,3420.0,,3420.0,1437.55,
0150B,91200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",684.0,,684.0,368.0,
0150B,91200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3420.0,,3420.0,2016.09,
0150B,91200,22201,COMUNICACIONES POSTALES,3825.0,,3825.0,289.16,
0150B,91200,22202,COMUNICACIONES TELEGRÁFICAS,346.28,,346.28,,
0150B,91200,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,13093.92,,13093.92,17895.33,
0150B,91200,22602,PUBLICIDAD Y PROPAGANDA,,,,809.72,
0150B,91200,22606,"REUNIONES, CONFERENCIAS Y CURSOS",14543.55,,14543.55,12137.26,
0150B,91200,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,1907.08,,1907.08,3946.41,
0150B,91200,22699,OTROS GASTOS DIVERSOS,28875.27,,28875.27,31488.68,
0150B,91200,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,1869.89,,1869.89,,
0150B,91200,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,,,,,
0150B,91200,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,9462.18,,9462.18,5137.25,
0150B,91200,23010,DIETAS DEL PERSONAL DIRECTIVO,,,,293.35,
0150B,91200,23020,DIETAS DEL PERSONAL NO DIRECTIVO,6840.0,,6840.0,,
0150B,91200,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,18900.0,,18900.0,6144.99,
0150B,91200,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,,,,315.28,
0150B,91200,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,15300.0,-11388.49,3911.51,1076.97,
0150C,91200,11000,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,121147.8,-68.27,121079.53,108936.71,
0150C,91200,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,,,,12521.14,
0150C,91200,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,44947.2,1772.29,46719.49,46341.17,
0150C,91200,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,1240.34,
0150C,91200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,510.0,,510.0,306.52,
0150C,91200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",23000.0,,23000.0,24213.24,
0150C,91200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,,,,891.88,
0150C,91200,22201,COMUNICACIONES POSTALES,80.0,,80.0,,
0150C,91200,22602,PUBLICIDAD Y PROPAGANDA,217000.0,,217000.0,116248.99,
0150C,91200,22603,PUBLICACIÓN EN DIARIOS OFICIALES,6000.0,,6000.0,65493.11,
0150C,91200,22699,OTROS GASTOS DIVERSOS,5500.0,,5500.0,,
0150C,91200,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,72100.0,,72100.0,85202.7,
0150C,91200,23020,DIETAS DEL PERSONAL NO DIRECTIVO,650.0,,650.0,,
0150C,91200,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,400.0,,400.0,49.7,
0150D,91200,48001,GRUPOS POLITICOS,36480.0,,36480.0,36479.78,
