#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
0001A,43900,42390,"OTRAS SUBV A SOC MERCANT EST,ENTID PÚBLIC EMPR Y O ORG.PÚBL",60000,0,60000,60000
0001A,91200,10000,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,919820.12,0,919820.12,1031852.39
0001A,91200,11000,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,495044.4,0,495044.4,492434.5
0001A,91200,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,67209,0,67209,22185.87
0001A,91200,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,0,0,0,0
0001A,91200,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,87267.6,0,87267.6,78599.85
0001A,91200,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,22790.88,0,22790.88,23751.97
0001A,91200,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,68670.6,0,68670.6,47828.14
0001A,91200,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,84410.28,0,84410.28,54610.56
0001A,91200,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,191058.24,0,191058.24,123579.52
0001A,91200,12300,RESIDENCIA PERSONAL FUNCIONARIO,24406.8,0,24406.8,16051.42
0001A,91200,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,687197.76,0,687197.76,683210.13
0001A,91200,13506,COMPLEMENTO GARANTÍA RETRIBUT. PERSONAL PROCEDENTE DE ERELPA,2568.6,0,2568.6,2290.44
0001A,91200,13600,COMPLEMENTO DE GARANTÍA RETRIBUTIVA,3450.12,0,3450.12,2433.12
0001A,91200,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,1400,0,1400,48.15
0001A,91200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,3000,0,3000,2093.99
0001A,91200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",600,0,600,0
0001A,91200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3000,0,3000,2448.52
0001A,91200,22201,COMUNICACIONES POSTALES,1000,0,1000,0
0001A,91200,22202,COMUNICACIONES TELEGRÁFICAS,300,0,300,0
0001A,91200,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,13500,0,13500,8482.55
0001A,91200,22602,PUBLICIDAD Y PROPAGANDA,1500,0,1500,0
0001A,91200,22606,"REUNIONES, CONFERENCIAS Y CURSOS",13000,0,13000,17047.79
0001A,91200,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,10000,-4099.33,5900.67,5449.83
0001A,91200,22696,GASTOS DIVERSOS. INDEMNIZACIONES POR REVISIÓN DE OFICIO,0,0,0,0
0001A,91200,22699,OTROS GASTOS DIVERSOS,26700,-355.24,26344.76,7026.73
0001A,91200,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,1000,0,1000,0
0001A,91200,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,10500,0,10500,4539.24
0001A,91200,23020,DIETAS DEL PERSONAL NO DIRECTIVO,6000,0,6000,4763.28
0001A,91200,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,12500,0,12500,4357.72
0001A,91200,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,6000,0,6000,0
0001A,91200,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,10000,0,10000,5123.17
0001B,91200,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,500,0,500,0
0001B,91200,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,500,0,500,0
0001B,91200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,90,0,90,0
0001B,91200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",26000,-500,25500,23914.35
0001B,91200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,450,0,450,124.84
0001B,91200,22602,PUBLICIDAD Y PROPAGANDA,98001.5,20000,118001.5,73685.33
0001B,91200,22696,GASTOS DIVERSOS. INDEMNIZACIONES POR REVISIÓN DE OFICIO,0,0,0,20597.5
0001B,91200,22699,OTROS GASTOS DIVERSOS,68837,25000,93837,6386.45
0001C,91200,48001,GRUPOS POLÍTICOS,68400,0,68400,68400
0001D,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,26883.6,0,26883.6,13576.32
0001D,92000,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,968.57,0,968.57,0
0001D,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,53815.02,0,53815.02,52884.72
0001D,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,18950.64,0,18950.64,19145.16
0001D,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,43452.3,0,43452.3,34124.78
0001D,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,50151.32,0,50151.32,37446.5
0001D,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,131312.4,0,131312.4,97503.12
0001D,92000,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,11532.24,0,11532.24,15142.77
0001D,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,12940.08,0,12940.08,10590.96
0001D,92000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,16372.32,0,16372.32,15915.5
0001D,92000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,13460.52,0,13460.52,12994.47
0001D,92000,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,5507.28,0,5507.28,5262.85
0001D,92000,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,27278.64,0,27278.64,27420.53
0001D,92000,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,0,0,0,1819
0001D,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",3552.16,0,3552.16,3426.72
0001D,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,4059.03,-2816.9,1242.13,1801.5
0001D,92000,22699,OTROS GASTOS DIVERSOS,600,-575,25,0
0001D,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,2588.81,0,2588.81,1447.2
0001D,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,600,0,600,0
